genes	baseMean	log2FoldChange	lfcSE	pvalue	padj
5S_rRNA	5S_rRNA	1.58718062026585	-0.100649822938907	0.233921833162504	0.677450258822381	0.747147396097222
A1BG	A1BG	12.0578490536965	0.104970255023153	0.126180522067883	0.400484742556803	0.481362978639885
A1BG-AS1	A1BG-AS1	79.3076235586919	0.360194101949659	0.105708439937488	0.00057881699923928	0.00113312278871282
A1CF	A1CF	4.55836236633072	-0.422321349429858	0.26638304556738	0.0932845782480415	0.131607655871943
A2M	A2M	60967.4933266806	-1.19927323388083	0.0948740598029028	2.27497781698317e-36	3.56941395286644e-35
A2M-AS1	A2M-AS1	124.01397255342	-1.36484345783399	0.0896189735830464	6.68405629298985e-52	2.26636290317916e-50
A2ML1	A2ML1	456.788537544682	-0.142240255137699	0.245189941066764	0.519949948287792	0.601446698760271
A2MP1	A2MP1	20.8608430922323	-1.75972892699837	0.14490642288375	1.48668088644727e-34	2.10305878196831e-33
A3GALT2	A3GALT2	2.55777279495634	-0.95043132427996	0.196557497753756	4.6251962477863e-07	1.23635725852579e-06
A4GALT	A4GALT	1083.65376550948	-0.358359368696869	0.123501399721116	0.00325541622261146	0.00582188595259946
A4GNT	A4GNT	5.87312146268986	-1.12932966865976	0.196505955029988	2.6569803410589e-09	8.5104709502353e-09
AAAS	AAAS	2052.88899328279	0.136882628958642	0.043789813652893	0.00174810591807642	0.003230652476629
AACS	AACS	4128.24480597281	-0.0559178309155805	0.096073909814688	0.556815546403552	0.636862283265253
AACSP1	AACSP1	3.88632726368026	0.589289119309427	0.417082402695528	0.123046452698962	0.169092138285311
AADAC	AADAC	162.426767273085	-4.25807654272263	0.493286161936185	1.76497758126842e-19	1.11045067001526e-18
AADACL2	AADACL2	9.27898183358816	-3.4771100665383	0.424625134165648	1.14723350622585e-17	6.43794239093574e-17
AADACL2-AS1	AADACL2-AS1	12.3977701260491	-1.55423811583431	0.187622294546761	2.2889141574733e-17	1.26164976900005e-16
AADACP1	AADACP1	13.0276239523273	-2.60975044152985	0.193396193630276	7.34632726376421e-43	1.58803706407715e-41
AADAT	AADAT	284.690587379008	-0.620224881882286	0.132949827791412	2.06369440407418e-06	5.21751162425532e-06
AAGAB	AAGAB	4105.11732938829	0.89341163723249	0.0649412299122	7.66350451680155e-43	1.65457776090773e-41
AAK1	AAK1	3160.91808296232	-0.0140291366990568	0.0488072043953584	0.772873235791906	0.830332924153856
AAMDC	AAMDC	465.089055357858	-0.443653457296107	0.0985992093266084	5.74394549137703e-06	1.39200049546049e-05
AAMP	AAMP	6372.27180066317	0.298930643854081	0.06276579610345	1.79384731546763e-06	4.56070527041788e-06
